id;code;date;detail;status;payment_method;payment_date;payment_amount;order_id
1;Texas Concrete;2021-11-07T08:48:55;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2021-11-06T20:41:37;75071;1
2;Rhode Island bypassing SQL;2021-11-06T23:36:59;Frozen online streamline;ISSUED;CREDIT_CARD;2021-11-07T15:24:05;68011;2
3;lime program;2021-11-06T18:52:02;parse Horizontal Shirt;ISSUED;PAYPAL;2021-11-06T19:42:35;82892;3
4;Buckinghamshire Director Gloves;2021-11-06T23:22:45;Malagasy Ariary Dynamic;CANCELLED;CREDIT_CARD;2021-11-06T15:57:46;33894;4
5;attitude-oriented;2021-11-07T01:50:53;Integration structure;CANCELLED;PAYPAL;2021-11-07T03:58:23;72584;5
6;Internal Licensed Steel Towels RSS;2021-11-07T08:27:03;Chips;PAID;CREDIT_CARD;2021-11-07T09:22:43;90614;6
7;Toys Cotton;2021-11-07T00:56:24;Small Rubber Pants Brand Savings Account;ISSUED;CASH_ON_DELIVERY;2021-11-06T22:39:48;42722;7
8;Arizona Barbados Dollar;2021-11-07T09:26:06;tan Cambridgeshire Rubber;ISSUED;CREDIT_CARD;2021-11-07T06:29:34;44406;8
9;Generic Ethiopian Birr Assurance;2021-11-06T21:54:57;Arizona navigating navigating;ISSUED;CASH_ON_DELIVERY;2021-11-07T05:50:27;93110;9
10;Concrete;2021-11-07T14:38:43;paradigms system;PAID;CREDIT_CARD;2021-11-06T17:04:55;93817;10
