id;place_date;status;code;customer_id
1;2021-11-07T07:34:29;COMPLETED;Georgia calculate withdrawal;1
2;2021-11-06T18:30:59;COMPLETED;compress Steel out-of-the-box;2
3;2021-11-06T20:02:11;PENDING;Concrete;1
4;2021-11-07T09:28:06;CANCELLED;Investment Account;2
5;2021-11-06T20:44:56;PENDING;United States of America;1
6;2021-11-07T10:57:00;CANCELLED;IB Industrial Credit Card Account;2
7;2021-11-07T14:03:25;CANCELLED;Cotton Egyptian Pound;1
8;2021-11-06T22:59:29;COMPLETED;Home Loan Account;2
9;2021-11-07T07:53:45;COMPLETED;Human;1
10;2021-11-06T18:02:23;CANCELLED;payment;2
