id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2021-11-06T17:00:39;payment unleash Jamaican Dollar;1
2;Rest;2021-11-07T12:17:09;Plains;2
3;Quality Plastic plum;2021-11-06T16:37:31;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2021-11-07T13:04:43;Architect SSL;4
5;zero tolerance;2021-11-07T10:01:02;user-facing CSS;5
6;ADP Ouguiya;2021-11-07T05:57:30;Garden;6
7;auxiliary;2021-11-07T14:13:30;functionalities Bedfordshire withdrawal;7
8;Data;2021-11-06T17:11:31;Viaduct hybrid;8
9;mesh;2021-11-07T15:37:10;human-resource Shoes Wooden;9
10;calculate value-added Metal;2021-11-07T13:36:04;Re-engineered withdrawal Ball;10
